Date,Hour,load,scenario,period
14/06/2018,7,10710.3,42,6
14/06/2018,7,10073.4,43,6
14/06/2018,7,10933.2,44,6
14/06/2018,7,10215.2,45,6
14/06/2018,7,10314.3,46,6
14/06/2018,7,9378.1,47,6
14/06/2018,7,11169.4,48,6
14/06/2018,7,10669.7,49,6
14/06/2018,7,10532.9,50,6
14/06/2018,7,11248.9,51,6
14/06/2018,7,10746.2,52,6
14/06/2018,7,10441.6,53,6
14/06/2018,7,10828.4,54,6
14/06/2018,7,10538.9,55,6
14/06/2018,7,11087.7,56,6
14/06/2018,7,10186.7,57,6
14/06/2018,7,9833.0,58,6
14/06/2018,7,10627.6,59,6
14/06/2018,7,11613.4,60,6
14/06/2018,7,9744.9,61,6
14/06/2018,7,10092.2,62,6
14/06/2018,7,9813.4,63,6
14/06/2018,7,10828.1,64,6
14/06/2018,7,11423.9,65,6
14/06/2018,7,11472.9,66,6
14/06/2018,7,9842.5,67,6
14/06/2018,7,10210.9,68,6
14/06/2018,7,11761.9,69,6
14/06/2018,7,10131.8,70,6
14/06/2018,7,11346.3,71,6
14/06/2018,7,11435.2,72,6
14/06/2018,7,11938.0,73,6
14/06/2018,7,11170.2,74,6
14/06/2018,7,12149.9,75,6
14/06/2018,7,11169.3,76,6
14/06/2018,7,11040.5,77,6
14/06/2018,7,11527.3,78,6
14/06/2018,7,11638.7,79,6
14/06/2018,7,11050.1,80,6
14/06/2018,7,12220.8,81,6
14/06/2018,7,10279.5,82,6
14/06/2018,7,11656.3,83,6
14/06/2018,7,12315.7,84,6
14/06/2018,7,10520.3,85,6
14/06/2018,7,11493.3,86,6
14/06/2018,7,11140.0,87,6
14/06/2018,7,12070.7,88,6
14/06/2018,7,10609.0,89,6
14/06/2018,7,12628.8,90,6
14/06/2018,7,12238.7,91,6
14/06/2018,7,10817.6,92,6
14/06/2018,7,12886.2,93,6
14/06/2018,7,13565.4,94,6
14/06/2018,7,12802.1,95,6
14/06/2018,7,14235.2,96,6
14/06/2018,7,13976.9,97,6
14/06/2018,7,14171.6,98,6
14/06/2018,7,13272.7,99,6
14/06/2018,7,15195.1,100,6
14/06/2018,8,7953.4,1,7
14/06/2018,8,8523.9,2,7
