unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
SOLAR01,17/06/2018,8,14.2,0,14.2,0,1,0,79
SOLAR02,17/06/2018,8,9.7,0,9.7,0,1,0,79
WIND01,17/06/2018,9,308.1,0,308.1,0,1,0,80
WIND02,17/06/2018,9,336.9,0,336.9,0,1,0,80
SOLAR01,17/06/2018,9,116.0,0,116.0,0,1,0,80
SOLAR02,17/06/2018,9,62.7,0,62.7,0,1,0,80
WIND01,17/06/2018,10,344.4,0,344.4,0,1,0,81
WIND02,17/06/2018,10,348.5,0,348.5,0,1,0,81
SOLAR01,17/06/2018,10,272.3,0,272.3,0,1,0,81
SOLAR02,17/06/2018,10,159.6,0,159.6,0,1,0,81
WIND01,17/06/2018,11,367.7,0,367.7,0,1,0,82
WIND02,17/06/2018,11,436.2,0,436.2,0,1,0,82
SOLAR01,17/06/2018,11,368.7,0,368.7,0,1,0,82
SOLAR02,17/06/2018,11,208.5,0,208.5,0,1,0,82
WIND01,17/06/2018,12,423.0,0,423.0,0,1,0,83
WIND02,17/06/2018,12,414.3,0,414.3,0,1,0,83
SOLAR01,17/06/2018,12,471.7,0,471.7,0,1,0,83
SOLAR02,17/06/2018,12,294.2,0,294.2,0,1,0,83
WIND01,17/06/2018,13,420.2,0,420.2,0,1,0,84
WIND02,17/06/2018,13,421.1,0,421.1,0,1,0,84
SOLAR01,17/06/2018,13,439.6,0,439.6,0,1,0,84
SOLAR02,17/06/2018,13,262.1,0,262.1,0,1,0,84
WIND01,17/06/2018,14,491.2,0,491.2,0,1,0,85
WIND02,17/06/2018,14,395.8,0,395.8,0,1,0,85
SOLAR01,17/06/2018,14,456.5,0,456.5,0,1,0,85
SOLAR02,17/06/2018,14,302.8,0,302.8,0,1,0,85
WIND01,17/06/2018,15,495.1,0,495.1,0,1,0,86
WIND02,17/06/2018,15,403.2,0,403.2,0,1,0,86
SOLAR01,17/06/2018,15,455.8,0,455.8,0,1,0,86
SOLAR02,17/06/2018,15,237.9,0,237.9,0,1,0,86
WIND01,17/06/2018,16,500.8,0,500.8,0,1,0,87
WIND02,17/06/2018,16,428.7,0,428.7,0,1,0,87
SOLAR01,17/06/2018,16,433.7,0,433.7,0,1,0,87
SOLAR02,17/06/2018,16,223.0,0,223.0,0,1,0,87
